goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
1;5;0;46;52.87;44;62.86;5;50.0;32;1;75.6;90;57.32;2556;9;28;7;29;0;0;0;34;4;0;0;0;0;98;0;914;8;0;0.0;105;43.39;43;98;3;4;13;2;3;7.69;1;0;0.0;0;0;0;6.79;2556;Diego Oyarzún;Everton de Viña del Mar
2;6;0;42;56.76;34;58.62;7;46.67;29;0;69.03;76;57.58;1801;6;14;1;24;0;0;0;25;4;0;0;0;0;108;2;651;6;3;16.67;120;40.27;31;92;11;0;15;5;2;13.33;0;0;0.0;0;0;0;6.79;1801;Juan Freytes;Unión La Calera
0;7;2;55;62.5;47;63.51;5;83.33;37;1;71.9;102;62.96;1903;13;23;4;23;0;0;0;23;1;0;0;0;0;89;0;637;4;4;57.14;72;37.7;30;76;7;1;14;3;4;0.0;0;1;0.0;0;1;0;6.78;1903;Matías Zaldivia;Universidad de Chile
0;2;1;28;58.33;21;65.63;1;100.0;21;1;79.47;49;61.25;1498;6;7;1;17;0;0;0;28;2;0;0;0;0;26;0;476;1;0;0.0;57;49.57;35;91;12;0;2;0;0;0.0;0;0;0.0;0;0;0;6.78;1498;Matías Cahais;Curicó Unido
0;4;0;28;52.83;42;67.74;3;50.0;21;0;75.71;70;60.87;1417;4;17;1;20;0;0;0;21;1;0;0;0;0;37;0;455;1;0;0.0;38;38.0;21;74;6;0;7;0;2;0.0;0;0;0.0;0;0;0;6.78;1417;Sebastián Pereira;Everton de Viña del Mar
0;4;0;28;68.29;8;40.0;2;50.0;18;0;75.85;36;59.02;784;8;9;0;14;0;0;0;8;1;0;0;0;0;22;0;267;3;2;66.67;37;44.05;17;31;3;0;3;0;0;0.0;0;0;0.0;0;0;0;6.78;784;Enzo Guerrero;Ñublense
1;5;0;73;56.15;14;56.0;11;40.74;42;2;81.52;87;56.13;1653;20;10;16;21;0;0;0;23;2;0;0;0;0;150;1;697;16;15;31.25;39;43.82;27;29;15;0;5;3;0;20.0;0;3;;0;0;0;6.78;1653;Eugenio Mena;Universidad Católica
0;1;0;39;42.86;12;52.17;6;27.27;30;3;71.77;51;44.74;1318;3;11;4;19;0;0;0;13;4;0;0;0;0;151;3;417;24;18;34.62;72;48.65;19;10;21;0;17;5;3;0.0;0;1;;0;0;0;6.77;1318;Brayan Véjar;Palestino
2;3;0;67;48.55;25;48.08;24;54.55;31;3;71.06;92;48.42;1780;12;20;16;25;0;0;0;24;5;0;0;0;0;107;6;437;13;10;26.32;40;41.67;46;48;17;0;12;5;1;16.67;0;2;0.0;0;0;0;6.76;1780;Francisco Salinas;Unión La Calera
0;2;0;25;58.14;44;70.97;5;62.5;14;1;79.7;69;65.71;1462;6;6;6;20;0;0;0;21;1;0;0;0;0;87;0;589;6;0;0.0;79;58.96;20;40;4;0;5;1;2;0.0;0;1;0.0;0;0;0;6.76;1462;Fernando Meza;Palestino
