goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;player;team
0.23;0.29;0.0;3.67;47.01;1.11;38.78;0.99;51.52;2.21;0.12;66.98;4.77;44.81;90;0.47;1.22;0.93;1.51;0;0;0;1.05;0.17;0;0;0;0;7.27;0.12;16.52;1.11;0.23;16.67;0.7;35.29;0.87;0.81;1.11;0.52;2.33;0.64;0.47;10.0;0.0;0.06;0.0;0;0.0;0;6.75;Nicolás Orellana;Unión La Calera
0.23;0.08;0.0;2.02;40.0;0.16;20.0;0.85;55.0;0.47;0.0;75.35;2.17;37.33;90;0.7;0.39;1.16;1.86;0;0;0;1.63;0.08;0;0;0;0;7.91;0.16;20.62;1.24;0.93;34.29;1.32;60.71;0.47;0.16;0.78;0.16;2.48;0.7;0.47;9.38;0.23;0.0;;0;0.08;0;6.75;Jason Flores;Curicó Unido
0.37;0.37;0.12;3.77;42.36;1.79;34.12;0.49;34.78;0.8;0.12;62.91;5.56;39.3;90;2.53;2.9;1.17;1.42;0;0;0;0.99;0.25;0;0;0;0;3.83;0.12;10.69;0.8;0.12;28.57;0.68;44.0;0.25;0.93;0.49;0.06;2.29;0.74;0.49;16.22;0.19;0.31;0.0;0;0.0;0;6.74;Isaac Díaz;Deportes Copiapó
0.83;0.0;0.0;2.2;25.81;2.75;35.71;0.28;16.67;0.83;0.0;73.63;4.95;30.51;90;1.1;3.03;1.65;3.3;0;0;0;0.83;0.0;0;0;0;0;7.16;0.0;18.44;1.38;0.0;0.0;0.0;0.0;0.28;1.1;0.55;0.28;3.3;0.83;1.38;25.0;0.0;1.38;0.0;0;0.0;0;6.74;Julio Castro;Cobresal
0.18;0.27;0.0;2.62;38.67;3.16;47.95;0.72;47.06;0.9;0.0;67.58;5.77;43.24;90;0.99;1.53;1.44;2.16;0;0;0;0.81;0.18;0;0;0;0;5.77;0.0;15.6;0.9;0.18;40.0;1.26;82.35;0.18;0.9;0.36;0.18;3.07;1.17;0.45;5.88;0.09;0.27;0.0;0;0.0;0;6.74;Esteban Moreira;O'Higgins
0.17;0.0;0.0;6.28;51.02;0.59;50.0;3.18;56.72;1.01;0.08;73.72;6.87;50.93;90;2.09;1.17;2.09;2.18;0;0;0;0.59;0.17;0;0;0;0;7.96;0.34;18.1;1.17;0.42;11.36;1.17;51.85;0.34;0.42;0.5;0.34;2.68;0.92;0.67;6.25;0.0;0.17;0.0;0;0.0;0;6.74;Julián Brea;Huachipato
0.44;0.11;0.0;2.88;29.89;2.0;36.0;1.22;44.0;0.55;0.0;71.67;4.88;32.12;90;1.11;1.55;3.66;1.88;0;0;0;0.89;0.11;0;0;0;0;6.21;0.0;19.06;1.33;0.0;0.0;1.55;58.33;0.44;0.55;0.11;0.0;2.44;1.0;0.67;18.18;0.0;0.33;;0;0.0;0;6.74;Matias Belmar;O'Higgins
0.17;0.43;0.0;4.23;42.79;0.22;29.41;1.73;48.78;1.16;0.09;78.25;4.44;41.87;90;1.34;1.21;1.47;1.12;0;0;0;1.55;0.13;0;0;0;0;8.15;0.13;16.61;1.25;0.39;17.65;0.82;55.88;0.26;0.04;1.29;0.09;1.64;0.6;0.39;10.53;0.0;0.86;0.0;0;0.0;0;6.71;Yorman Zapata;Deportes Magallanes
0.17;0.08;0.0;1.58;27.14;1.67;58.82;0.42;31.25;0.58;0.08;65.05;3.25;37.5;90;0.58;1.67;1.25;1.67;0;0;0;1.17;0.17;0;0;0;0;3.75;0.08;11.17;0.58;0.5;40.0;1.0;70.59;0.33;0.83;0.58;0.08;2.0;1.0;0.25;8.33;0.0;0.33;;0;0.0;0;6.71;Franco Di Santo;Universidad Católica
0.09;0.27;0.0;5.15;50.44;1.36;50.0;1.08;46.15;1.72;0.18;72.64;6.51;50.35;90;2.35;1.72;1.45;1.36;0;0;0;1.08;0.09;0;0;0;0;3.25;0.09;13.19;0.9;0.18;11.11;0.63;63.64;0.54;0.18;0.81;0.27;1.99;0.54;0.45;4.55;0.0;0.0;0.0;0;0.0;0;6.71;Clemente Montes;Universidad Católica
