goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
1;3;0;21;44.68;3;60.0;3;75.0;15;0;72.63;24;46.15;481;3;11;10;11;0;0;0;9;1;0;0;0;0;32;1;130;12;8;25.81;12;44.44;10;11;4;0;9;1;2;11.11;0;2;;0;0;0;6.83;481;Alejandro Henriquez;Everton de Viña del Mar
1;1;0;18;69.23;3;37.5;3;60.0;3;0;73.4;21;61.76;409;12;2;4;11;0;0;0;3;1;0;0;0;0;31;0;69;7;3;15.0;12;80.0;4;2;0;0;7;4;1;14.29;0;1;0.0;0;0;0;6.83;409;Jorge Ortiz;Universidad Católica
2;2;0;60;55.05;13;46.43;16;72.73;27;0;76.43;73;53.28;1541;17;12;13;24;0;0;0;14;1;0;0;0;0;229;1;600;25;1;9.09;40;42.55;16;8;19;0;22;7;5;9.09;0;1;0.0;0;0;0;6.83;1541;Vicente Pizarro;Colo Colo
1;2;0;37;45.68;0;0.0;15;48.39;11;1;76.27;37;44.05;736;11;8;14;17;0;0;0;10;1;0;0;0;0;100;2;270;17;15;33.33;19;54.29;3;3;6;0;26;11;5;3.85;1;1;;0;0;0;6.82;736;Matias Palavecino;Coquimbo Unido
3;4;0;87;53.37;5;38.46;30;61.22;32;3;78.04;92;52.27;1801;25;12;27;29;0;0;0;25;2;0;0;0;0;189;2;494;37;18;22.22;29;53.7;11;7;19;4;37;11;9;8.11;0;7;0.0;0;0;0;6.82;1801;Franco García;Cobresal
2;2;1;81;46.55;7;31.82;18;62.07;43;0;79.9;88;44.9;2003;20;27;27;27;0;0;0;38;5;0;0;0;0;289;2;819;32;15;30.61;65;56.03;20;7;28;1;30;11;5;6.67;1;1;0.0;0;0;1;6.81;2003;Yerko Leiva;Curicó Unido
0;4;0;50;58.14;15;36.59;9;47.37;25;3;72.5;65;51.18;1533;16;3;9;23;0;0;0;18;5;0;0;0;0;90;8;319;16;5;22.73;18;42.86;14;15;14;1;13;3;4;0.0;0;4;0.0;0;0;0;6.81;1533;Felipe Reynero;Deportes Copiapó
0;5;2;78;48.15;25;62.5;7;50.0;48;1;78.32;103;50.99;1552;23;35;10;23;0;0;0;20;3;0;0;0;0;155;1;719;15;9;39.13;114;60.32;25;20;35;0;36;10;9;0.0;0;0;;0;0;0;6.81;1552;Sebastián Leyton;Unión Española
0;3;0;68;52.31;11;44.0;8;47.06;48;1;73.93;79;50.97;1313;13;16;17;24;0;0;0;11;3;0;0;0;0;150;0;482;16;15;34.09;49;44.14;23;34;22;0;6;1;2;0.0;0;1;0.0;0;0;0;6.81;1313;Agustín Bouzat;Colo Colo
0;4;1;81;54.36;20;42.55;11;40.74;46;1;83.37;101;51.53;2039;24;17;14;29;0;0;0;22;6;0;0;0;0;231;2;862;20;7;29.17;56;65.88;15;14;24;2;35;13;12;0.0;0;4;0.0;0;0;0;6.81;2039;Juan Leiva;Ñublense
0;3;1;36;50.0;0;0.0;5;83.33;26;2;82.71;36;44.44;969;5;15;11;15;0;0;0;11;1;0;0;0;0;116;1;421;19;8;61.54;47;65.28;14;3;10;0;4;1;1;0.0;0;0;0.0;0;0;0;6.81;969;Valentín Larralde;O'Higgins
0;12;1;93;55.69;21;60.0;10;47.62;39;0;76.53;114;56.44;1638;44;33;14;20;0;0;0;19;3;0;0;0;0;165;1;613;9;2;15.38;78;57.78;42;17;19;1;20;3;4;0.0;0;0;;0;0;0;6.81;1638;Fernando Juárez;Audax Italiano
0;1;0;3;42.86;0;0.0;0;0.0;2;0;33.33;3;42.86;11;1;2;1;1;0;0;0;0;0;0;0;0;0;2;0;2;1;1;100.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;;0;0;0;6.8;11;Felipe Barrientos;Coquimbo Unido
0;4;0;125;55.07;27;60.0;19;70.37;75;0;79.09;152;55.88;2348;31;40;23;29;0;0;0;31;3;0;0;0;0;154;1;692;14;5;41.67;60;54.55;28;35;33;0;4;0;3;0.0;0;0;0.0;0;0;0;6.8;2348;Sebastián Galani;Coquimbo Unido
